iter	Passed	Remaining
417	2074	2887
418	2079	2883
419	2083	2877
420	2089	2873
421	2093	2867
422	2098	2862
423	2103	2857
424	2108	2852
425	2113	2847
426	2118	2842
427	2123	2837
428	2128	2833
429	2135	2831
430	2140	2825
431	2144	2820
432	2149	2814
433	2153	2808
434	2158	2803
435	2162	2797
436	2166	2790
437	2170	2784
438	2174	2778
439	2177	2771
440	2181	2765
441	2184	2758
442	2188	2751
443	2192	2745
444	2196	2738
445	2199	2732
446	2203	2725
447	2206	2719
448	2210	2712
449	2214	2706
450	2217	2699
451	2221	2693
452	2224	2686
453	2228	2680
454	2232	2673
455	2235	2667
456	2239	2660
457	2242	2653
458	2245	2647
459	2249	2640
460	2252	2634
461	2256	2627
462	2260	2621
463	2264	2615
464	2267	2608
465	2271	2602
466	2274	2596
467	2278	2590
468	2282	2583
469	2285	2577
470	2289	2571
471	2293	2565
472	2297	2559
473	2300	2553
474	2304	2547
475	2308	2540
476	2311	2534
477	2315	2528
478	2318	2522
479	2322	2515
480	2326	2509
481	2329	2503
482	2333	2497
483	2336	2491
484	2340	2485
485	2343	2478
486	2347	2472
487	2350	2466
488	2354	2460
489	2358	2454
490	2361	2448
491	2365	2442
492	2368	2436
493	2372	2430
494	2376	2424
495	2379	2418
496	2383	2412
497	2387	2406
498	2390	2400
499	2394	2394
500	2398	2388
501	2401	2382
502	2405	2377
503	2409	2371
504	2413	2365
505	2416	2359
506	2420	2353
507	2424	2347
508	2427	2342
509	2431	2336
510	2435	2330
511	2438	2324
512	2442	2318
513	2446	2312
514	2449	2307
515	2453	2301
516	2457	2295
517	2460	2289
518	2464	2284
519	2468	2278
520	2471	2272
521	2475	2266
522	2478	2260
523	2482	2254
524	2485	2249
525	2489	2243
526	2492	2237
527	2496	2231
528	2500	2225
529	2503	2220
530	2507	2214
531	2510	2208
532	2514	2203
533	2518	2197
534	2521	2191
535	2525	2186
536	2529	2180
537	2532	2175
538	2536	2169
539	2540	2163
540	2543	2158
541	2547	2152
542	2551	2147
543	2554	2141
544	2558	2135
545	2562	2130
546	2565	2124
547	2569	2119
548	2573	2113
549	2576	2108
550	2580	2102
551	2583	2097
552	2587	2091
553	2591	2085
554	2594	2080
555	2598	2074
556	2601	2069
557	2605	2063
558	2608	2058
559	2612	2052
560	2616	2047
561	2619	2041
562	2623	2036
563	2626	2030
564	2630	2025
565	2634	2019
566	2637	2014
567	2641	2008
568	2645	2003
569	2648	1998
570	2652	1992
571	2655	1987
572	2659	1981
573	2663	1976
574	2666	1970
575	2670	1965
576	2674	1960
577	2678	1955
578	2682	1950
579	2685	1945
580	2689	1939
581	2692	1934
582	2696	1928
583	2699	1922
584	2702	1917
585	2706	1912
586	2709	1906
587	2713	1901
588	2716	1895
589	2720	1890
590	2723	1885
591	2727	1879
592	2730	1874
593	2734	1869
594	2737	1863
595	2741	1858
596	2746	1853
597	2751	1849
598	2755	1844
599	2759	1839
600	2764	1835
601	2768	1830
602	2772	1825
603	2776	1820
604	2780	1815
605	2783	1809
606	2787	1804
607	2790	1799
608	2794	1793
609	2797	1788
610	2801	1783
611	2804	1778
612	2808	1772
613	2811	1767
614	2815	1762
615	2818	1756
616	2822	1751
617	2825	1746
618	2828	1741
619	2832	1736
620	2836	1731
621	2841	1726
622	2844	1721
623	2848	1716
624	2852	1711
625	2856	1706
626	2860	1701
627	2864	1696
628	2868	1692
629	2872	1687
630	2876	1682
631	2881	1677
632	2884	1672
633	2888	1667
634	2893	1662
635	2897	1658
636	2902	1653
637	2906	1649
638	2912	1645
639	2917	1641
640	2922	1637
641	2928	1632
642	2932	1628
643	2937	1623
644	2940	1618
645	2945	1614
646	2949	1609
647	2953	1604
648	2956	1599
649	2960	1593
650	2963	1588
651	2967	1583
652	2970	1578
653	2974	1573
654	2977	1568
655	2981	1563
656	2985	1558
657	2988	1553
658	2992	1548
659	2995	1543
660	2999	1538
661	3002	1533
662	3006	1527
663	3011	1523
664	3017	1519
665	3021	1515
666	3025	1510
667	3033	1507
668	3037	1503
669	3042	1498
670	3050	1495
671	3054	1490
672	3059	1486
673	3066	1483
674	3071	1478
675	3078	1475
676	3083	1471
677	3087	1466
678	3093	1462
679	3097	1457
680	3101	1452
681	3105	1447
682	3113	1445
683	3118	1440
684	3122	1435
685	3133	1434
686	3143	1432
687	3149	1428
688	3155	1424
689	3161	1420
690	3165	1415
691	3170	1411
692	3176	1407
693	3180	1402
694	3185	1397
695	3196	1395
696	3204	1392
697	3210	1389
698	3215	1384
699	3223	1381
700	3228	1377
701	3240	1375
702	3246	1371
703	3253	1367
704	3259	1363
705	3264	1359
706	3272	1356
707	3277	1351
708	3286	1348
709	3291	1344
710	3296	1339
711	3304	1336
712	3309	1332
713	3315	1328
714	3320	1323
715	3324	1318
716	3329	1313
717	3333	1309
718	3338	1304
719	3342	1299
720	3346	1295
721	3351	1290
722	3355	1285
723	3359	1280
724	3364	1276
725	3368	1271
726	3372	1266
727	3376	1261
728	3380	1256
729	3384	1251
730	3387	1246
731	3391	1241
732	3396	1237
733	3400	1232
734	3404	1227
735	3408	1222
736	3412	1217
737	3416	1212
738	3420	1208
739	3425	1203
740	3428	1198
741	3432	1193
742	3436	1188
743	3440	1183
744	3444	1178
745	3448	1174
746	3452	1169
747	3457	1164
748	3461	1159
749	3466	1155
750	3470	1150
751	3474	1145
752	3479	1141
753	3485	1137
754	3490	1132
755	3495	1128
756	3499	1123
757	3504	1118
758	3510	1114
759	3514	1109
760	3518	1105
761	3526	1101
762	3531	1096
763	3535	1092
764	3542	1088
765	3546	1083
766	3550	1078
767	3557	1074
768	3562	1070
769	3567	1065
770	3575	1061
771	3579	1057
772	3584	1052
773	3592	1048
774	3597	1044
775	3603	1040
776	3610	1036
777	3614	1031
778	3622	1027
779	3628	1023
780	3632	1018
781	3640	1014
782	3645	1010
783	3649	1005
784	3656	1001
785	3660	996
786	3664	991
787	3672	988
788	3677	983
789	3685	979
790	3690	974
791	3694	970
792	3703	966
793	3709	962
794	3716	958
795	3722	954
796	3727	949
797	3737	946
798	3742	941
799	3751	937
800	3755	933
801	3759	928
802	3767	924
803	3771	919
804	3775	914
805	3783	910
806	3787	905
807	3791	901
808	3799	897
809	3803	892
810	3808	887
811	3815	883
812	3819	878
813	3825	874
814	3831	869
815	3835	864
816	3839	859
817	3845	855
818	3849	850
819	3853	845
820	3858	841
821	3862	836
822	3865	831
823	3869	826
824	3873	821
825	3877	816
826	3880	811
827	3884	806
828	3887	801
829	3891	797
830	3895	792
831	3899	787
832	3902	782
833	3906	777
834	3910	772
835	3913	767
836	3917	762
837	3921	758
838	3925	753
839	3929	748
840	3932	743
841	3936	738
842	3939	733
843	3943	728
844	3947	724
845	3951	719
846	3954	714
847	3958	709
848	3961	704
849	3966	699
850	3970	695
851	3974	690
852	3977	685
853	3981	680
854	3985	675
855	3989	671
856	3993	666
857	3997	661
858	4000	656
859	4005	651
860	4008	647
861	4012	642
862	4016	637
863	4020	632
864	4024	628
865	4028	623
866	4032	618
867	4036	613
868	4040	609
869	4044	604
870	4048	599
871	4052	594
872	4056	590
873	4060	585
874	4064	580
875	4068	575
876	4072	571
877	4075	566
878	4080	561
879	4084	556
880	4087	552
881	4092	547
882	4096	542
883	4100	538
884	4104	533
885	4107	528
886	4111	523
887	4115	519
888	4119	514
889	4122	509
890	4126	504
891	4130	500
892	4134	495
893	4138	490
894	4142	486
895	4146	481
896	4150	476
897	4154	471
898	4158	467
899	4162	462
900	4166	457
901	4170	453
902	4174	448
903	4178	443
904	4182	439
905	4186	434
906	4192	429
907	4196	425
908	4200	420
909	4204	415
910	4208	411
911	4212	406
912	4216	401
913	4220	397
914	4225	392
915	4229	387
916	4233	383
917	4237	378
918	4243	374
919	4246	369
920	4250	364
921	4254	359
922	4260	355
923	4263	350
924	4267	345
925	4272	341
926	4276	336
927	4280	332
928	4284	327
929	4291	322
930	4295	318
931	4299	313
932	4304	309
933	4309	304
934	4313	299
935	4318	295
936	4325	290
937	4329	286
938	4334	281
939	4341	277
940	4345	272
941	4349	267
942	4357	263
943	4361	258
944	4367	254
945	4374	249
946	4378	245
947	4385	240
948	4390	235
949	4395	231
950	4404	226
951	4408	222
952	4416	217
953	4421	213
954	4426	208
955	4434	204
956	4438	199
957	4442	194
958	4450	190
959	4454	185
960	4459	180
961	4469	176
962	4474	171
963	4482	167
964	4486	162
965	4490	158
966	4498	153
967	4502	148
968	4506	144
969	4512	139
970	4517	134
971	4521	130
972	4527	125
973	4532	120
974	4536	116
975	4545	111
976	4553	107
977	4560	102
978	4571	98
979	4576	93
980	4581	88
981	4585	84
982	4589	79
983	4593	74
984	4598	70
985	4604	65
986	4608	60
987	4613	56
988	4618	51
989	4622	46
990	4626	42
991	4631	37
992	4635	32
993	4639	28
994	4647	23
995	4651	18
996	4656	14
997	4660	9
998	4664	4
999	4667	0
