iter	Logloss
0	0.6886738992
1	0.6853015715
2	0.6813560386
3	0.6779377605
4	0.6735224625
5	0.6691500369
6	0.6654417532
7	0.6612271027
8	0.6577126926
9	0.6547058154
10	0.651150667
11	0.6477816823
12	0.6439155862
13	0.6394758857
14	0.6370511437
15	0.6341123233
16	0.6310204337
17	0.6282171059
18	0.6250836133
19	0.6216198093
20	0.6188781438
21	0.6160854156
22	0.6129156456
23	0.6088413087
24	0.6056997958
25	0.6023967652
26	0.5992810402
27	0.5962345831
28	0.5931293775
29	0.589234727
30	0.5853969931
31	0.5830962498
32	0.5801209177
33	0.5772280712
34	0.5757885891
35	0.5731069786
36	0.5702076836
37	0.5676903445
38	0.564726345
39	0.5627259055
40	0.5601217549
41	0.5575507502
42	0.5555563506
43	0.551939155
44	0.5499938689
45	0.5468894205
46	0.544574377
47	0.5416484715
48	0.5385753359
49	0.5361180801
50	0.5339784012
51	0.5319831362
52	0.5293857782
53	0.5259630311
54	0.5241709296
55	0.5214529839
56	0.5195828929
57	0.5186387654
58	0.5169206317
59	0.5149668389
60	0.5122004882
61	0.510643972
62	0.508639887
63	0.5065247369
64	0.5049581204
65	0.5033232783
66	0.5011067977
67	0.498507489
68	0.4967503728
69	0.4946356589
70	0.493242075
71	0.4909759735
72	0.4895073064
73	0.4880417708
74	0.4861182129
75	0.4844978315
76	0.4832210576
77	0.4813478628
78	0.4797033235
79	0.4776253471
80	0.4758648505
81	0.474060011
82	0.4722476943
83	0.4706367152
84	0.4692131039
85	0.4678890335
86	0.4659728335
87	0.46526915
88	0.4632156855
89	0.4611257738
90	0.4594700453
91	0.4580875217
92	0.4560819978
93	0.4541865418
94	0.4523168508
95	0.4504652261
96	0.448508787
97	0.4471526617
98	0.4458064233
99	0.4445707083
100	0.4427628508
101	0.4416130349
102	0.4406724919
103	0.4392126614
104	0.4381340489
105	0.4362642303
106	0.4349159929
107	0.4334864537
108	0.4319710609
109	0.430407833
110	0.4289226531
